"theme_folder","theme_name_pt","product_no","title_ko","source_category_folder","source_detail_url","themed_file","bytes"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1336","방위사업청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1336&cate_no=80&display_group=1","018__1336__방위사업청.jpg","308035"
"07-publico-cultura-saude-e-educacao","Público, Cultura, Saúde e Educação","1329","국립아시아문화전당재단","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1329&cate_no=80&display_group=1","019__1329__국립아시아문화전당재단.jpg","142777"
"01-alimentos-e-bebidas","Alimentos e Bebidas","1328","경주 천년한우","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1328&cate_no=80&display_group=1","020__1328__경주 천년한우.jpg","207490"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1322","방위사업청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1322&cate_no=80&display_group=1","021__1322__방위사업청.jpg","112858"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1308","강원 산불방지센터","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1308&cate_no=80&display_group=1","022__1308__강원 산불방지센터.jpg","479369"
"07-publico-cultura-saude-e-educacao","Público, Cultura, Saúde e Educação","1306","경기도박물관","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1306&cate_no=80&display_group=1","023__1306__경기도박물관.jpg","349480"
"07-publico-cultura-saude-e-educacao","Público, Cultura, Saúde e Educação","1287","연세세브란스","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1287&cate_no=80&display_group=1","024__1287__연세세브란스.jpg","820809"
"05-industria-energia-e-tecnologia","Indústria, Energia e Tecnologia","1285","한국원자력환경복원연구원","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1285&cate_no=80&display_group=1","025__1285__한국원자력환경복원연구원.jpg","139689"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1258","해양경찰","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1258&cate_no=80&display_group=1","026__1258__해양경찰.jpg","917446"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","252","경찰청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=252&cate_no=80&display_group=1","027__252__경찰청.jpg","143672"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","251","경찰청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=251&cate_no=80&display_group=1","028__251__경찰청.jpg","148364"
"07-publico-cultura-saude-e-educacao","Público, Cultura, Saúde e Educação","218","국립서울현충원","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=218&cate_no=80&display_group=1","029__218__국립서울현충원.jpg","119854"
"07-publico-cultura-saude-e-educacao","Público, Cultura, Saúde e Educação","212","대한적십자사","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=212&cate_no=80&display_group=1","030__212__대한적십자사.jpg","116326"
"07-publico-cultura-saude-e-educacao","Público, Cultura, Saúde e Educação","211","대한적십자사","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=211&cate_no=80&display_group=1","031__211__대한적십자사.jpg","169656"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","207","산림청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=207&cate_no=80&display_group=1","032__207__산림청.jpg","187321"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","206","산림청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=206&cate_no=80&display_group=1","033__206__산림청.jpg","201317"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","1417","모펀","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1417&cate_no=81&display_group=1","001__1417__모펀.jpg","185697"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","1368","마비노기","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1368&cate_no=81&display_group=1","002__1368__마비노기.jpg","250487"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","1367","블루아카이브","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1367&cate_no=81&display_group=1","003__1367__블루아카이브.jpg","332695"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","1366","블루아카이브","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1366&cate_no=81&display_group=1","004__1366__블루아카이브.jpg","278962"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","233","드라마 펜트하우스","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=233&cate_no=81&display_group=1","005__233__드라마 펜트하우스.jpg","181514"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","221","tvN - 현지에서 먹힐까(미국편)","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=221&cate_no=81&display_group=1","006__221__tvN - 현지에서 먹힐까(미국편).jpg","146734"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","208","이태리탕","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=208&cate_no=81&display_group=1","007__208__이태리탕.jpg","2804467"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","200","SM 엔터테이먼트","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=200&cate_no=81&display_group=1","008__200__SM 엔터테이먼트.jpg","112125"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","199","SM 엔터테이먼트","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=199&cate_no=81&display_group=1","009__199__SM 엔터테이먼트.jpg","226380"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","198","SM 엔터테이먼트","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=198&cate_no=81&display_group=1","010__198__SM 엔터테이먼트.jpg","145751"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","193","CGV","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=193&cate_no=81&display_group=1","011__193__CGV.jpg","87433"
"09-entretenimento-midia-e-games","Entretenimento, Mídia e Games","192","CGV","04-games-broadcast-media","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=192&cate_no=81&display_group=1","012__192__CGV.jpg","1688040"
