"category_folder","category_name","category_id","sequence","product_no","title_ko","source_detail_url","local_file","bytes","status"
"03-public-research","Public Institutions & Research","80","4","1414","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1414&cate_no=80&display_group=1","004__1414__경찰청.jpg","239862","downloaded"
"03-public-research","Public Institutions & Research","80","5","1413","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1413&cate_no=80&display_group=1","005__1413__경찰청.jpg","222367","downloaded"
"03-public-research","Public Institutions & Research","80","6","1412","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1412&cate_no=80&display_group=1","006__1412__경찰청.jpg","247679","downloaded"
"03-public-research","Public Institutions & Research","80","7","1411","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1411&cate_no=80&display_group=1","007__1411__경찰청.jpg","241671","downloaded"
"03-public-research","Public Institutions & Research","80","8","1398","LIG Defense&amp;Aerospace","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1398&cate_no=80&display_group=1","008__1398__LIG Defense&amp;Aerospace.jpg","116143","downloaded"
"03-public-research","Public Institutions & Research","80","9","1397","LIG Defense&amp;Aerospace","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1397&cate_no=80&display_group=1","009__1397__LIG Defense&amp;Aerospace.jpg","220350","downloaded"
"03-public-research","Public Institutions & Research","80","10","1396","LIG Defense&amp;Aerospace","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1396&cate_no=80&display_group=1","010__1396__LIG Defense&amp;Aerospace.jpg","255336","downloaded"
"03-public-research","Public Institutions & Research","80","11","1393","방위사업청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1393&cate_no=80&display_group=1","011__1393__방위사업청.jpg","165380","downloaded"
"03-public-research","Public Institutions & Research","80","12","1376","한국철도공사","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1376&cate_no=80&display_group=1","012__1376__한국철도공사.jpg","303749","downloaded"
"03-public-research","Public Institutions & Research","80","13","1373","SK하이닉스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1373&cate_no=80&display_group=1","013__1373__SK하이닉스.jpg","138795","downloaded"
"03-public-research","Public Institutions & Research","80","14","1372","SK하이닉스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1372&cate_no=80&display_group=1","014__1372__SK하이닉스.jpg","148165","downloaded"
"03-public-research","Public Institutions & Research","80","15","1370","안성3ㆍ1운동기념관","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1370&cate_no=80&display_group=1","015__1370__안성3ㆍ1운동기념관.jpg","133006","downloaded"
"03-public-research","Public Institutions & Research","80","16","1341","한국재료연구원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1341&cate_no=80&display_group=1","016__1341__한국재료연구원.jpg","137263","downloaded"
"03-public-research","Public Institutions & Research","80","17","1340","한국수력원자력","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1340&cate_no=80&display_group=1","017__1340__한국수력원자력.jpg","122657","downloaded"
"03-public-research","Public Institutions & Research","80","18","1336","방위사업청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1336&cate_no=80&display_group=1","018__1336__방위사업청.jpg","308035","downloaded"
"03-public-research","Public Institutions & Research","80","19","1329","국립아시아문화전당재단","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1329&cate_no=80&display_group=1","019__1329__국립아시아문화전당재단.jpg","142777","downloaded"
"03-public-research","Public Institutions & Research","80","20","1328","경주 천년한우","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1328&cate_no=80&display_group=1","020__1328__경주 천년한우.jpg","207490","downloaded"
"03-public-research","Public Institutions & Research","80","21","1322","방위사업청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1322&cate_no=80&display_group=1","021__1322__방위사업청.jpg","112858","downloaded"
"03-public-research","Public Institutions & Research","80","22","1308","강원 산불방지센터","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1308&cate_no=80&display_group=1","022__1308__강원 산불방지센터.jpg","479369","downloaded"
"03-public-research","Public Institutions & Research","80","23","1306","경기도박물관","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1306&cate_no=80&display_group=1","023__1306__경기도박물관.jpg","349480","downloaded"
"03-public-research","Public Institutions & Research","80","24","1287","연세세브란스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1287&cate_no=80&display_group=1","024__1287__연세세브란스.jpg","820809","downloaded"
"03-public-research","Public Institutions & Research","80","25","1285","한국원자력환경복원연구원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1285&cate_no=80&display_group=1","025__1285__한국원자력환경복원연구원.jpg","139689","downloaded"
"03-public-research","Public Institutions & Research","80","26","1258","해양경찰","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1258&cate_no=80&display_group=1","026__1258__해양경찰.jpg","917446","downloaded"
"03-public-research","Public Institutions & Research","80","27","252","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=252&cate_no=80&display_group=1","027__252__경찰청.jpg","143672","downloaded"
"03-public-research","Public Institutions & Research","80","28","251","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=251&cate_no=80&display_group=1","028__251__경찰청.jpg","148364","downloaded"
"03-public-research","Public Institutions & Research","80","29","218","국립서울현충원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=218&cate_no=80&display_group=1","029__218__국립서울현충원.jpg","119854","downloaded"
"03-public-research","Public Institutions & Research","80","30","212","대한적십자사","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=212&cate_no=80&display_group=1","030__212__대한적십자사.jpg","116326","downloaded"
"03-public-research","Public Institutions & Research","80","31","211","대한적십자사","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=211&cate_no=80&display_group=1","031__211__대한적십자사.jpg","169656","downloaded"
"03-public-research","Public Institutions & Research","80","32","207","산림청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=207&cate_no=80&display_group=1","032__207__산림청.jpg","187321","downloaded"
"03-public-research","Public Institutions & Research","80","33","206","산림청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=206&cate_no=80&display_group=1","033__206__산림청.jpg","201317","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","1","1417","모펀","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1417&cate_no=81&display_group=1","001__1417__모펀.jpg","185697","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","2","1368","마비노기","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1368&cate_no=81&display_group=1","002__1368__마비노기.jpg","250487","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","3","1367","블루아카이브","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1367&cate_no=81&display_group=1","003__1367__블루아카이브.jpg","332695","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","4","1366","블루아카이브","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1366&cate_no=81&display_group=1","004__1366__블루아카이브.jpg","278962","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","5","233","드라마 펜트하우스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=233&cate_no=81&display_group=1","005__233__드라마 펜트하우스.jpg","181514","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","6","221","tvN - 현지에서 먹힐까(미국편)","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=221&cate_no=81&display_group=1","006__221__tvN - 현지에서 먹힐까(미국편).jpg","146734","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","7","208","이태리탕","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=208&cate_no=81&display_group=1","007__208__이태리탕.jpg","2804467","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","8","200","SM 엔터테이먼트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=200&cate_no=81&display_group=1","008__200__SM 엔터테이먼트.jpg","112125","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","9","199","SM 엔터테이먼트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=199&cate_no=81&display_group=1","009__199__SM 엔터테이먼트.jpg","226380","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","10","198","SM 엔터테이먼트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=198&cate_no=81&display_group=1","010__198__SM 엔터테이먼트.jpg","145751","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","11","193","CGV","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=193&cate_no=81&display_group=1","011__193__CGV.jpg","87433","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","12","192","CGV","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=192&cate_no=81&display_group=1","012__192__CGV.jpg","1688040","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","13","184","미래엔아이세움","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=184&cate_no=81&display_group=1","013__184__미래엔아이세움.jpg","139142","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","14","183","KTOON","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=183&cate_no=81&display_group=1","014__183__KTOON.jpg","88944","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","15","182","KTOON","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=182&cate_no=81&display_group=1","015__182__KTOON.jpg","325810","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","16","131","BTS 방탄소년단","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=131&cate_no=81&display_group=1","016__131__BTS 방탄소년단.jpg","463315","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","17","103","MBC","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=103&cate_no=81&display_group=1","017__103__MBC.jpg","1824038","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","18","102","MBC","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=102&cate_no=81&display_group=1","018__102__MBC.jpg","1940836","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","19","101","MBC","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=101&cate_no=81&display_group=1","019__101__MBC.jpg","678094","downloaded"
"04-games-broadcast-media","Games, Broadcast & Media","81","20","100","MBC","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=100&cate_no=81&display_group=1","020__100__MBC.jpg","559829","downloaded"
"05-other","Other","82","1","1422","HD현대","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1422&cate_no=82&display_group=1","001__1422__HD현대.jpg","62522","downloaded"
"05-other","Other","82","2","1421","HD현대","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1421&cate_no=82&display_group=1","002__1421__HD현대.jpg","54711","downloaded"
"05-other","Other","82","3","1420","현대자동차","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1420&cate_no=82&display_group=1","003__1420__현대자동차.jpg","213090","downloaded"
